station_code	soil_code	locality	sexe	nivins	langues	perschar	nbract	actprin	actsec1	actsec2	actsec3	bovins	ovins	caprins	asins	porcins	volailles	charrue	daba_houe	charrette	pulve	rayon	semoir	tricyc	suptot	supasso	prctsasso	typass	pluvio4	pluvio5	pluvio6	pluvio7	pluvio8	pluvio9	pluvio10	dismai	Argil	limon	sable	granuloc	tysopa	pHeau	MO	Nto	Kto	Pto	precul2014	precul2015	precul2016	typrot	varsorgh	varnieb	pracul	modsem	FO_Qte	FO_date	denpoq	datesem	freqsar	NPK_date	NPK_qte	uree_date	uree_qte	rdtsor	rdtnieb
BU_RT	BU_RT_01	Raguitenga	2	0	1	20	10	1	2	3	0	2	10	7	4	0	5	1	10	2	1	0	0	0	2.5	2	80	1	0	149	206	127.5	100.5	166	32	2000	13.3	47.2	39.5	2	5	5.2	1.2	0.4	1522	64	3	3	3	5	7	1	6	2	3.5	21	41667	31	3	15	156.3	0	0	NA	87.5
BU_RT	BU_RT_02	Raguitenga	1	0	1	7	4	1	2	0	0	4	7	2	1	0	5	1	5	1	0	0	0	0	3	2.5	83.3	1	0	149	206	127.5	100.5	166	32	2000	12.3	41.9	45.8	2	6	5.8	1	0.4	2031	83	3	3	3	5	9	1	3	2	3	128	55556	31	2	0	0	0	0	318.75	190.63
BU_RT	BU_RT_03	Raguitenga	2	0	1	7	3	1	2	3	0	3	4	2	1	0	3	1	3	1	0	0	0	0	5	4	80	1	0	149	206	127.5	100.5	166	32	2000	10.1	40.2	49.7	2	4	5.2	1.7	0.7	1012	138	3	3	3	5	12	1	6	2	2.5	18	31250	30	2	46	125	0	0	468.75	193.75
BU_RT	BU_RT_04	Raguitenga	1	1	2	6	2	1	2	0	0	2	0	0	1	0	10	1	4	1	0	1	1	0	3	1.5	50	1	0	149	206	127.5	100.5	166	32	2500	23.7	33.8	42.5	2	4	6.1	1.5	0.6	2157	138	3	3	3	5	5	5	3	2	3	41	31250	31	2	15	156.3	0	0	318.75	187.5
BU_RT	BU_RT_05	Raguitenga	1	0	1	9	4	1	2	0	0	4	0	0	1	0	10	1	5	1	0	0	0	0	3	2	66.7	1	0	149	206	127.5	100.5	166	32	1800	6.7	20.1	73.2	5	6	4.9	0.8	0.3	507	83	3	5	3	4	16	1	3	2	4	25	27778	19	2	23	93.8	0	0	265.63	478.13
BU_RT	BU_RT_06	Raguitenga	1	1	2	30	9	1	2	0	0	3	0	0	1	0	1	1	9	1	0	0	0	0	4	3	75	1	0	149	206	127.5	100.5	166	32	2000	10.1	23.5	66.4	5	4	6.4	1.2	0.6	1393	129	2	2	3	9	1	3	3	2	4	6	27778	20	2	16	125	0	0	687.5	193.75
BU_RT	BU_RT_07	Raguitenga	1	1	2	26	12	1	2	0	0	0	3	10	1	0	20	1	12	1	1	0	0	0	4	3	75	1	0	149	206	127.5	100.5	166	32	2000	13.4	23.5	63.1	5	2	6.6	0.2	0.1	632	83	3	5	4	6	12	1	6	2	2	31	55556	31	2	15	93.8	52	62.5	406.25	253.13
BU_RT	BU_RT_08	Raguitenga	1	0	1	10	3	1	2	0	0	0	0	0	1	0	13	1	3	1	0	0	0	0	1	0.6	60	1	0	149	206	127.5	100.5	166	32	4000	10.1	37.1	52.8	5	4	6.1	2.6	1	764	239	3	3	3	5	16	5	3	2	0	0	55556	31	2	20	156.3	0	0	375	NA
BU_RT	BU_RT_09	Raguitenga	1	0	1	6	4	1	2	0	0	2	4	1	1	0	3	1	5	1	0	0	0	0	5	3	60	1	0	149	206	127.5	100.5	166	32	4000	6.7	33.6	59.7	5	4	5.7	2.1	0.8	636	221	3	3	3	5	9	1	6	2	0	0	55556	66	3	0	0	0	0	100	78.13
BU_RT	BU_RT_10	Raguitenga	1	0	1	11	5	1	2	0	0	1	3	1	2	0	3	1	5	1	0	0	0	0	4	3	75	1	0	149	206	127.5	100.5	166	32	5000	10.1	30.2	59.7	5	6	6.3	1.5	0.6	637	165	3	3	3	5	16	1	6	2	1	80	31250	45	3	21	156.3	0	0	165.63	221.88
